,j_d,g_d,h_d,events,event,calender_type
616,"(1397, 7, 8)",2018-09-30,"(1440, 1, 20)",روز جهانی ترجمه و مترجم [۳۰ september],روز جهانی ترجمه و مترجم,g
617,"(1397, 7, 9)",2018-10-01,"(1440, 1, 21)",روز جهانی سالمندان [۱ october],روز جهانی سالمندان,g
618,"(1397, 7, 10)",2018-10-02,"(1440, 1, 22)",روز، جشن مهرگان,روز، جشن مهرگان,j
619,"(1397, 7, 13)",2018-10-05,"(1440, 1, 25)",روز نیروی انتظامی,روز نیروی انتظامی,j
620,"(1397, 7, 13)",2018-10-05,"(1440, 1, 25)",روز جهانی معلم [۵ october],روز جهانی معلم,g
621,"(1397, 7, 14)",2018-10-06,"(1440, 1, 26)",روز دامپزشکی,روز دامپزشکی,j
622,"(1397, 7, 16)",2018-10-08,"(1440, 1, 28)",روز ملی کودک,روز ملی کودک,j
623,"(1397, 7, 17)",2018-10-09,"(1440, 1, 29)",روز جهانی پست [۹ october],روز جهانی پست,g
624,"(1397, 7, 18)",2018-10-10,"(1440, 2, 1)",روز جهانی مبارزه با حکم اعدام [۱۰ october],روز جهانی مبارزه با حکم اعدام,g
625,"(1397, 7, 19)",2018-10-11,"(1440, 2, 2)",روز جهانی دختر [۱۱ october],روز جهانی دختر,g
626,"(1397, 7, 20)",2018-10-12,"(1440, 2, 3)",روز بزرگداشت حافظ,روز بزرگداشت حافظ,j
627,"(1397, 7, 21)",2018-10-13,"(1440, 2, 4)",جشن پیروزی کاوه و فریدون,جشن پیروزی کاوه و فریدون,j
628,"(1397, 7, 22)",2018-10-14,"(1440, 2, 5)",روز جهانی استاندارد [۱۴ october],روز جهانی استاندارد,g
629,"(1397, 7, 23)",2018-10-15,"(1440, 2, 6)",روز جهانی عصای سفید [۱۵ october],روز جهانی عصای سفید,g
630,"(1397, 7, 24)",2018-10-16,"(1440, 2, 7)",روز جهانی غذا [۱۶ october],روز جهانی غذا,g
631,"(1397, 7, 25)",2018-10-17,"(1440, 2, 8)",روز جهانی ریشه کنی فقر [۱۷ october],روز جهانی ریشه کنی فقر,g
632,"(1397, 7, 26)",2018-10-18,"(1440, 2, 9)",روز تربیت بدنی و ورزش,روز تربیت بدنی و ورزش,j
633,"(1397, 7, 29)",2018-10-21,"(1440, 2, 12)",روز ملی کوهنورد,روز ملی کوهنورد,j
634,"(1397, 9, 1)",2018-11-22,"(1440, 3, 14)",جشن,جشن,j
635,"(1397, 9, 4)",2018-11-25,"(1440, 3, 17)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
636,"(1397, 9, 4)",2018-11-25,"(1440, 3, 17)",روز جهانی مبارزه با خشونت علیه زنان [۲۵ november],روز جهانی مبارزه با خشونت علیه زنان,g
637,"(1397, 9, 5)",2018-11-26,"(1440, 3, 18)",روز بسیج مستضعفان,روز بسیج مستضعفان,j
638,"(1397, 9, 7)",2018-11-28,"(1440, 3, 20)",روز نیروی دریایی,روز نیروی دریایی,j
639,"(1397, 9, 9)",2018-11-30,"(1440, 3, 22)",جشن آذرگان، روز,جشن آذرگان، روز,j
640,"(1397, 9, 10)",2018-12-01,"(1440, 3, 23)",روز مجلس,روز مجلس,j
641,"(1397, 9, 10)",2018-12-01,"(1440, 3, 23)",روز جهانی ایدز [۱ december],روز جهانی ایدز,g
642,"(1397, 9, 12)",2018-12-03,"(1440, 3, 25)",روز جهانی معلولان [۳ december],روز جهانی معلولان,g
643,"(1397, 9, 13)",2018-12-04,"(1440, 3, 26)",روز بیمه,روز بیمه,j
644,"(1397, 9, 15)",2018-12-06,"(1440, 3, 28)",روز حسابدار,روز حسابدار,j
645,"(1397, 9, 16)",2018-12-07,"(1440, 3, 29)",روز دانشجو,روز دانشجو,j
646,"(1397, 9, 20)",2018-12-11,"(1440, 4, 4)",روز جهانی کوه نوردی [۱۱ december],روز جهانی کوه نوردی,g
647,"(1397, 9, 25)",2018-12-16,"(1440, 4, 9)",روز پژوهش,روز پژوهش,j
648,"(1397, 9, 25)",2018-12-16,"(1440, 4, 9)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
649,"(1397, 9, 26)",2018-12-17,"(1440, 4, 10)",روز حمل و نقل,روز حمل و نقل,j
650,"(1397, 9, 27)",2018-12-18,"(1440, 4, 11)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
651,"(1397, 9, 30)",2018-12-21,"(1440, 4, 14)",جشن شب یلدا,جشن شب یلدا,j
652,"(1397, 10, 1)",2018-12-22,"(1440, 4, 15)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
653,"(1397, 10, 4)",2018-12-25,"(1440, 4, 18)",جشن کریسمس [۲۵ december],جشن کریسمس,g
654,"(1397, 10, 5)",2018-12-26,"(1440, 4, 19)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
655,"(1397, 10, 5)",2018-12-26,"(1440, 4, 19)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
656,"(1397, 10, 8)",2018-12-29,"(1440, 4, 22)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
657,"(1397, 10, 11)",2019-01-01,"(1440, 4, 25)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
658,"(1397, 10, 15)",2019-01-05,"(1440, 4, 29)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
659,"(1397, 10, 20)",2019-01-10,"(1440, 5, 4)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
660,"(1397, 10, 22)",2019-01-12,"(1440, 5, 6)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
661,"(1397, 10, 23)",2019-01-13,"(1440, 5, 7)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
662,"(1397, 11, 1)",2019-01-21,"(1440, 5, 15)",زادروز فردوسی,زادروز فردوسی,j
663,"(1397, 11, 2)",2019-01-22,"(1440, 5, 16)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
664,"(1397, 11, 5)",2019-01-25,"(1440, 5, 19)",جشن نوسره,جشن نوسره,j
665,"(1397, 11, 10)",2019-01-30,"(1440, 5, 24)",جشن سده,جشن سده,j
666,"(1397, 11, 12)",2019-02-01,"(1440, 5, 26)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
667,"(1397, 11, 15)",2019-02-04,"(1440, 5, 29)",جشن میانه زمستان,جشن میانه زمستان,j
668,"(1397, 11, 19)",2019-02-08,"(1440, 6, 3)",روز نیروی هوایی,روز نیروی هوایی,j
669,"(1397, 11, 20)",2019-02-09,"(1440, 6, 4)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
670,"(1397, 11, 22)",2019-02-11,"(1440, 6, 6)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
671,"(1397, 11, 22)",2019-02-11,"(1440, 6, 6)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
672,"(1397, 11, 23)",2019-02-12,"(1440, 6, 7)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
673,"(1397, 11, 25)",2019-02-14,"(1440, 6, 9)",روز ولنتاین [۱۴ february],روز ولنتاین,g
674,"(1397, 11, 29)",2019-02-18,"(1440, 6, 13)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
675,"(1397, 12, 2)",2019-02-21,"(1440, 6, 16)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
676,"(1397, 12, 5)",2019-02-24,"(1440, 6, 19)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
677,"(1397, 12, 5)",2019-02-24,"(1440, 6, 19)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
678,"(1397, 12, 7)",2019-02-26,"(1440, 6, 21)",ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر [٢٠ جمادی الثانیه],ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,h
