,j_d,g_d,h_d,events,event,calender_type
679,"(1397, 12, 7)",2019-02-26,"(1440, 6, 21)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
680,"(1397, 12, 7)",2019-02-26,"(1440, 6, 21)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
681,"(1397, 12, 15)",2019-03-06,"(1440, 6, 29)",روز درختکاری,روز درختکاری,j
682,"(1397, 12, 17)",2019-03-08,"(1440, 7, 1)",ولادت امام محمد باقر علیه السلام [١ رجب],ولادت امام محمد باقر علیه السلام,h
683,"(1397, 12, 17)",2019-03-08,"(1440, 7, 1)",روزجهانی زنان [۸ march],روزجهانی زنان,g
684,"(1397, 12, 19)",2019-03-10,"(1440, 7, 3)",شهادت امام علی النقی الهادی علیه السلام [٣ رجب],شهادت امام علی النقی الهادی علیه السلام,h
685,"(1397, 12, 25)",2019-03-16,"(1440, 7, 9)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
686,"(1397, 12, 26)",2019-03-17,"(1440, 7, 10)",ولادت امام محمد تقی علیه السلام [١٠ رجب],ولادت امام محمد تقی علیه السلام,h
687,"(1397, 12, 29)",2019-03-20,"(1440, 7, 13)",روز ملی شدن صنعت نفت ایران,روز ملی شدن صنعت نفت ایران,j
688,"(1397, 12, 29)",2019-03-20,"(1440, 7, 13)",ولادت امام علی علیه السلام و روز پدر [١٣ رجب],ولادت امام علی علیه السلام و روز پدر,h
689,"(1397, 12, 29)",2019-03-20,"(1440, 7, 13)",روز جهانی شادی [۲۰ march],روز جهانی شادی,g
690,"(1397, 4, 1)",2018-06-22,"(1439, 10, 8)",جشن آب پاشونک، جشن آغاز تابستان,جشن آب پاشونک، جشن آغاز تابستان,j
691,"(1397, 4, 1)",2018-06-22,"(1439, 10, 8)",روز اصناف,روز اصناف,j
692,"(1397, 4, 5)",2018-06-26,"(1439, 10, 12)",روز جهانی مبارزه با مواد مخدر [۲۶ june],روز جهانی مبارزه با مواد مخدر,g
693,"(1397, 4, 7)",2018-06-28,"(1439, 10, 14)",انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,j
694,"(1397, 4, 8)",2018-06-29,"(1439, 10, 15)",روز مبارزه با سلاح‌های شیمیایی و میکروبی,روز مبارزه با سلاح‌های شیمیایی و میکروبی,j
695,"(1397, 4, 10)",2018-07-01,"(1439, 10, 17)",روز صنعت و معدن,روز صنعت و معدن,j
696,"(1397, 4, 12)",2018-07-03,"(1439, 10, 19)",شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,j
697,"(1397, 4, 13)",2018-07-04,"(1439, 10, 20)",روز، جشن تیرگان,روز، جشن تیرگان,j
698,"(1397, 4, 14)",2018-07-05,"(1439, 10, 21)",روز قلم,روز قلم,j
699,"(1397, 4, 15)",2018-07-06,"(1439, 10, 22)",جشن خام خواری,جشن خام خواری,j
700,"(1397, 4, 18)",2018-07-09,"(1439, 10, 25)",شهادت امام جعفر صادق علیه السلام [٢٥ شوال],شهادت امام جعفر صادق علیه السلام,h
701,"(1397, 4, 24)",2018-07-15,"(1439, 11, 2)",ولادت حضرت معصومه سلام الله علیها و روز دختران [١ ذوالقعده],ولادت حضرت معصومه سلام الله علیها و روز دختران,h
702,"(1397, 4, 25)",2018-07-16,"(1439, 11, 3)",روز بهزیستی و تامین اجتماعی,روز بهزیستی و تامین اجتماعی,j
703,"(1397, 4, 27)",2018-07-18,"(1439, 11, 5)",اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,j
704,"(1398, 11, 1)",2020-01-21,"(1441, 5, 26)",زادروز فردوسی,زادروز فردوسی,j
705,"(1398, 11, 2)",2020-01-22,"(1441, 5, 27)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
706,"(1398, 11, 5)",2020-01-25,"(1441, 5, 30)",جشن نوسره,جشن نوسره,j
707,"(1398, 11, 9)",2020-01-29,"(1441, 6, 4)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
